자치구,사업구분,사업장명,대표지번,진행단계,lat,lng
서초구,재건축,신반포궁전아파트 주택재건축정비사업조합,반포동 65-1,조합설립인가,37.50312,127.0014
강남구,재건축,개나리6차(아) 재건축정비사업 조합,역삼동 711-1,조합해산,37.49988,127.03856
서대문구,재건축,홍은동 제5주택재건축정비사업  조합,홍은동 277-45,조합설립인가,37.59296,126.93733
마포구,재건축,망원1 주택재건축정비사업 조합,망원동 458-16,조합해산,37.55586,126.90087
강남구,재건축,개포우성7차아파트 재건축정비사업조합,일원동 615,조합설립인가,37.48754,127.08705
은평구,재개발(주택정비형),응암3동 재개발 연계형 도시재생활성화사업,응암동 700,정비계획 수립,37.59418,126.92555
성북구,가로주택정비,하월곡2구역 가로주택정비사업조합,하월곡동 40-107,조합설립인가,37.60444,127.03764
동작구,소규모재건축,사당동 인정아파트 소규모 재건축 정비사업,사당동 196,사업시행인가,37.4856963,126.9723525
성북구,재개발(주택정비형),장위 7구역 주택재개발정비사업조합,장위동 189-3,조합해산,37.6162,127.05086
강동구,재건축,삼익그린맨션아파트 주택재건축정비사업조합,명일동 309-1,조합청산,37.54841,127.15158
송파구,재건축,가락극동아파트 재건축사업 조합,가락동 192,조합설립인가,37.49672,127.11744
성동구,재건축,장미아파트주택재건축정비사업,성수동1가 656-421,착공,37.5435,127.03742
중랑구,재건축,중화동131-35번지일대 주택재건축정비사업 조합설립추진위원회,중화동 131-35,추진위원회승인,37.59755,127.07783
성북구,재개발(주택정비형),석관제2구역 주택재개발정비사업조합,석관동 58-56,조합해산,37.60789,127.06116
영등포구,재건축,여의도 수정아파트 주택재건축정비사업,여의도동 32,정비계획 수립,37.51895,126.9390289
서초구,재건축,서초중앙하이츠1구역 주택재건축정비사업조합,방배동 1000-4,사업시행인가,37.4798789,126.9939103
중랑구,재개발(도시정비형),상봉7재정비촉진구역 도시환경정비사업조합,상봉동 88,사업시행인가,37.5935137,127.0777705
동대문구,재개발(주택정비형),회기제1구역 주택재개발정비사업조합,회기동 62-34,이전고시,37.59433,127.05178
구로구,소규모재건축,월드빌라소규모재건축정비사업조합,궁동 236-1,조합설립인가,37.5006694,126.8280726
종로구,재개발(도시정비형),돈의문1구역도시환경정비사업조합,교남동 62-1,조합해산,37.5716654,126.9633904
서대문구,재개발(주택정비형),북아현 1-1 재정비촉진구역 주택재개발 정비사업조합,북아현동 1-954,조합청산,37.5594721,126.9552494
관악구,지역주택,(가칭)당곡역 지역주택조합,신림동 1448-1,조합원 모집신고,37.4730961,126.9282982
용산구,리모델링,점보아파트 리모델링주택조합,이촌동 300-10,,37.52086,126.96612
용산구,리모델링,강촌아파트 리모델링주택조합,이촌동 402,,37.52086,126.96612
용산구,리모델링,미주아파트비동 리모델링주택조합,이촌동 302-48,조합설립인가,37.52086,126.96612
광진구,재건축,신향빌라 재건축사업,중곡동 18-24,정비구역지정,37.56286,127.08921
성북구,가로주택정비,석관1의7구역 가로주택정비사업조합,석관동 332-46,조합설립인가,37.60789,127.06116
마포구,재개발(도시정비형),마포로1구역 제23지구 도시정비형 재개발사업 조합,마포동 350,추진위원회승인,37.53672,126.94288
영등포구,재개발(주택정비형),신길3재정비촉진구역 주택재개발정비사업조합,신길동 145-40,조합청산,37.5065214,126.9119108
용산구,재개발(주택정비형),한남2재정비촉진구역 주택재개발정비사업 조합,보광동 272-3,관리처분인가,37.5270966,127.0015525
강서구,재건축,방화6재정비촉진구역 주택재건축정비사업조합,방화동 608-97,철거,37.57682,126.81422
성북구,재개발(주택정비형),장위 4구역 주택재개발정비사업조합,장위동 289,착공,37.6162,127.05086
성북구,재개발(도시정비형),신월곡1구역 도시환경정비사업조합,하월곡동 88-142,관리처분인가,37.60444,127.03764
금천구,재건축,우창연립 주택재건축정비사업조합설립추진위원회,가산동 547-44,추진위원회승인,37.4753253,126.8863954
도봉구,재건축,성삼연립 주택재건축정비사업조합,방학동 636,이전고시,37.66442,127.03333
영등포구,재개발(도시정비형),45. 문래동4가 도시환경정비구역 재개발정비사업조합,문래동4가 23-6,조합설립인가,37.514477,126.8898892
영등포구,재개발(도시정비형),31. 영등포1-15 재정비촉진구역,영등포동2가 34-4,정비구역지정,37.52125,126.91222
서대문구,재개발(주택정비형),홍은제12구역 주택재개발정비사업조합,홍은동 441-1,조합해산,37.59296,126.93733
종로구,재개발(도시정비형),사직제2구역 도시환경정비사업 조합,사직동 311-10,사업시행인가,37.5738317,126.9703041
송파구,재건축,"장미1,2,3차아파트 주택재건축정비사업 조합",신천동 7,조합설립인가,37.5184928,127.1030779
