자치구,사업구분,사업장명,대표지번,진행단계,lat,lng,매칭구역,has_polygon
용산구,재개발(주택정비형),서계 통합구역 주택정비형재개발 사업(신속통합기획),서계동 33-5,추진위원회승인,37.51723913697075,127.1070626152365,주택재건축사업,True
강북구,재개발(주택정비형),번동 441-3번지 일대 주택재개발정비사업,번동 441-3,추진위원회승인,37.63429678809161,127.02872961657066,번동 441-3번지 일대 주택정비형 재개발정비구역,True
동대문구,재개발(도시정비형),신이문2 역세권 도시정비형 재개발정비사업,이문동 170-65,정비계획 수립,37.52050824965235,126.85186260618221,도시환경정비사업,True
성북구,가로주택정비,정릉동 226-1번지 일대 가로주택정비사업  조합,정릉동 226-1,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
구로구,소규모재건축,한성아파트 소규모재건축정비사업,고척동 227-1,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
서초구,가로주택정비,"양재동 풍림, 현대빌라 가로주택정비사업조합",양재동 18-18,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
강동구,재개발(주택정비형),천호동 214-19번지 일대 재개발정비사업(천호 3-1구역),천호동 214-19,정비계획 수립,37.54314567080666,127.133184097233,천호 3-1구역,True
구로구,지역주택,(가칭)구로3동 16통 24통 지역주택조합사업,구로동 153-3,,37.51723913697075,127.1070626152365,주택재건축사업,True
은평구,재건축,응암3 주택재건축정비사업조합,응암동 626-108,조합해산,37.592337260728264,126.92184023578584,응암3구역주택재건축사업,True
용산구,재개발(도시정비형),정비창전면 제3구역 도시정비형 재개발 정비사업 조합,한강로3가 40-19,조합설립인가,37.52904800135316,126.9670616292404,3구역,True
동대문구,재개발(도시정비형),용두제7구역 도시환경정비사업 조합설립추진위원회,용두동 53-6,추진위원회승인,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
영등포구,재개발(도시정비형),71. 양평제14구역 도시환경정비사업 조합설립추진위원회,양평동2가 29-6,추진위원회승인,37.52123851723669,126.90789566117606,도시환경정비사업구역,True
중랑구,가로주택정비,면목역2구역 가로주택정비사업 ,면목동 1251-4,조합설립인가,37.569464434234625,126.99356150326884,2구역,True
동작구,지역주택,(가칭)사당5동지역주택조합 추진위원회,사당동 217-15,,37.52050824965235,126.85186260618221,도시환경정비사업,True
동작구,지역주택,(가칭)남성역지역주택조합 추진위원회,사당동 235-81,조합창립총회,37.52050824965235,126.85186260618221,도시환경정비사업,True
송파구,리모델링,강변현대아파트 리모델링사업조합,풍납동 299-1,조합원 모집신고,37.52050824965235,126.85186260618221,도시환경정비사업,True
송파구,리모델링,문정건영아파트 리모델링주택조합,문정동 72-3,지구단위계획수립/건축심의/교통심의,37.52050824965235,126.85186260618221,도시환경정비사업,True
송파구,리모델링,오금아남아파트 리모델링주택조합,오금동 67-7,,37.52050824965235,126.85186260618221,도시환경정비사업,True
송파구,리모델링,거여5단지아파트 리모델링주택조합,거여동 294,,37.52050824965235,126.85186260618221,도시환경정비사업,True
관악구,재개발(주택정비형),봉천4-1-3구역 주택재개발정비사업조합,봉천동 480,사업시행인가,37.567249866756526,126.99544229068115,1-3구역,True
구로구,소규모재건축,길훈아파트소규모재건축정비사업조합,오류동 150-42,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
마포구,재개발(주택정비형),마포로1구역 제10지구 도시정비형 재개발사업 조합,도화동 536,사업시행인가,37.5425709042275,126.9473804244419,마포로1구역 제10지구,True
강북구,소규모재건축,보광연립소규모재건축사업조합,수유동 360-1,사업시행인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
성동구,재개발(주택정비형),용답동 주택재개발정비사업조합,용답동 108-1,분양,37.52050824965235,126.85186260618221,도시환경정비사업,True
용산구,재건축,한양철우아파트 주택재건축 정비사업조합,한강로3가 65-500,조합설립인가,37.52050824965235,126.85186260618221,도시환경정비사업,True
